Area_Name,Postal_code
Bansir,21050
Kakar Shang,21041
Largram,21031
Malkan,21091
Kuza Banda,21060
Paimal Sharif,21041
Thikri Bala,21061
Peeriari,21061
Banian,21061
Baland Kot,21061
Bali Mang,21080
Chapper Gram,21041
Gijbori,21061
Trand,21061
Mano Maira,21061
Chatar Plain,21070
Bando Go,21061
Gidri,21061
Bajmera,21061
Sarkheli Banda,21061
Ahal,21091
Battal,21090
Hil Kot,21091
Jalgali,21091
Chinar Kot,21091
Bai Tarli,21091
Baffa,21110
Malookra,21091
Qazi Abad,21091
Tarrangri Bala,21111
Hajiabad,21100
Kotli Pain,21101
Sabir Shah,21111
Mair Chutar,21111
Mangon Machhi Pole,21131
Shinkar Camp,21150
Mental Hospital,21131
Banda Piran,21111
Guli Bagh,21111
Dhudial,21130
Jabbar,21161
Dadar,21160
Panjool,21161
Banda Gesach,21161
Shinkari,21140
Jabori,21170
Devli,21161
Balakot,21230
Shani Bala,21131
Bedadi,21141
Kaghan,21210
Sachan Kalan,21161
Bhogar Mang,21161
Indrasi,21161
Manda Gocha,21161
Rajwal,21211
Nawaz Abad,21161
Mahandri Bazar,21220
Naran (Seasonal),21200
Phagal,21221
Bhunja,21231
Sangar,21231
Paras,21231
Manoor,21221
Hangrai,21231
Ochri,21231
Darha,21241
Kawai,21231
Ghanool,21231
Farid Abad,21231
Debrian,21231
Bhungian,21231
Kashian,21231
Jareed,21231
Ghari Habib Ullah,21240
Sugdar,21241
Jaba Sheep Farm,21261
Kot Gali,21231
Dalola,21241
Batora,21241
Dogah,21241
Chakia,21270
Pateka,21241
Talhata,21241
Batrasi Camp,21250
Utter Shisha,21260
Mansehra G.P.O.,21300
Rashang,21300
Chuhan,21300
Mansehra City Npo (Nd),21300
Khangiri,21301
Dab Bazar (Nd),21300
Mansehra City Nd,21300
Sadin Meira,21300
Ogra,21301
Bisian,21301
Peshowra,21300
Kalgan,21301
Tanda,21301
Khawari,21301
Bajna,21301
Shohal Najaf Khan,21301
Mohayan Khori,21301
Shohal Mazulla Khan,21301
Kotli Bala,21301
Bedra,21301
Labarkot,21301
Debgran,21301
Chitta Batta,21301
Shehalia,21301
Dharyal,21301
Mair Amjad Ali,21301
Gangwal,21301
Gandhian,21301
Govt College,21301
Ptha,21301
Lassan Thakral,21331
Mangloor,21330
Sum Elahi Mang,21301
Naukot,21341
Tinkiari,21331
Hari Maira,21351
Susal,21351
Morbafa Khurd,21331
Khaki,21350
Bher Kund,21340
Tarha Bala,21341
Timbar Khola,21341
Tatar,21361
Kehinian,21351
Malik Pur,21351
Kotkey,21301
Mari Khan Khel,21341
Morbafa Kalan,21331
Murad Pur,21360
Phulra,21380
Gidar Pur,21361
Choki,21361
Perahena,21370
Timber Katta,21351
Sher Pur,21351
Jhangi,21371
Khawajan,21351
Moorat Maira,21371
Chunial,21371
Thathi Kalan,21371
Matserian,21381
Khaliala,21391
Tehanger,21381
Lassan Nawab,21390
Tarappi,21381
Mohair Khurd,21391
Jhukain,21391
Maira,21391
Jabba,21391
Kathai,21401
Bai,21391
Palsala,21391
Arbora,21401
Khabal Banglow,21401
Chajar,21401
Oghi,21400
Bandi Parao,21401
Dhara,21401
Khamian,21391
Bandi Feroz Khan,21401
Tatali,21401
Qila Gay,21420
Nika Pani,21401
Khabal Pain,21401
Kolaka,21401
Salabat,21451
Maira Kalan,21451
Shamdhera,21410
Tarawra,21401
Belian,21440
